year,title,imdbid,id,rating,directors,writers,cast,directors_male,directors_female,writers_male,writers_female,cast_male,cast_female
1984,C.H.U.D.,87015.0,9327,2,1.0,2.0,19.5,1.0,0.0,2.0,0.0,27.5,8.0
1955,Les grandes manoeuvres,48133.0,7878,3,1.0,3.0,14.0,1.0,0.0,3.0,0.0,32.0,18.0
1964,King &amp; Country,58263.0,3250,0,1.0,3.0,17.5,1.0,0.0,3.0,0.0,18.5,1.0
2002,"Coast Guard, The",341384.0,3163,1,-0.5,-0.5,-1.5,0.0,0.5,0.0,0.5,0.0,1.5
1965,Daikaiju Gamera,59080.0,6428,2,1.0,0.0,29.0,1.0,0.0,0.0,0.0,33.5,4.5
2019,7500,6436726.0,9175,1,1.0,2.0,13.5,1.0,0.0,2.0,0.0,16.5,3.0
2020,Freaky,10919380.0,9341,3,1.0,2.0,2.5,1.0,0.0,2.0,0.0,21.0,18.5
2015,Samurai Warrior Queens,4794188.0,9486,3,1.0,1.0,-7.0,1.0,0.0,1.0,0.0,1.0,8.0
1965,Treasure of the Aztecs,59682.0,9699,1,1.0,4.0,17.0,1.0,0.0,4.0,0.0,23.0,6.0
1959,"Giant Gila Monster, The",52846.0,2796,3,0.5,1.5,6.0,0.5,0.0,1.5,0.0,14.0,8.0
1963,Carry on Cabby,56912.0,2772,3,1.0,2.5,10.5,1.0,0.0,2.5,0.0,29.5,19.0
1994,Forrest Gump,109830.0,776,1,1.0,2.0,96.0,1.0,0.0,2.0,0.0,125.5,29.5
1962,Vivre Sa Vie,56663.0,8849,3,1.0,3.0,12.0,1.0,0.0,3.0,0.0,17.0,5.0
1991,"Naked Gun 2 1/2: The Smell of Fear, The",102510.0,1825,1,1.0,4.0,30.5,1.0,0.0,4.0,0.0,45.0,14.5
2008,"Brothers Bloom, The",844286.0,2424,3,-0.5,-0.5,18.0,0.0,0.5,0.0,0.5,24.0,6.0
2020,Cadaver,11284280.0,9458,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1963,"Sword in the Stone, The",57546.0,3810,0,3.0,1.0,8.0,3.0,0.0,1.0,0.0,11.0,3.0
