,year,title_x,imdbid,id_x,rating,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id_y,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title_y,video,vote_average,vote_count,imdb_id,nb_women,nb_men,area_women,area_men,imdb_id,ratio
4116,1995,Dolores Claiborne,0109642,2394,3,False,/9vJ57nbL4hWJrmsyjKTxiGXqrBU.jpg,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,11929,0109642,en,Dolores Claiborne,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.",16.937,/gfCh3TEQNEoro8lq21y4zYIic4D.jpg,"[{'id': 97, 'logo_path': '/7znWcbDd4PcJzJUlJxYqAlPPykp.png', 'name': 'Castle Rock Entertainment', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-03-24,0,132.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Sometimes, an accident can be an unhappy woman's best friend.",Dolores Claiborne,False,7.2,553,0109642,1,1,0.15232,0.13690133333333335,"imdb_id    0109642
imdb_id    0109642
Name: 4116, dtype: object",0.0
7807,1966,A Big Hand for the Little Lady,0060165,2696,1,False,/4kMhrn6zR4FNrLJ67eY4b93cRdC.jpg,,0,"[{'id': 37, 'name': 'Western'}]",,37301,0060165,en,A Big Hand for the Little Lady,"A naive traveler in Laredo gets involved in a poker game between the richest men in the area, jeopardizing all the money he has saved for the purpose of settling with his wife and child in San Antonio.",6.294,/7wmhNcHdbKsOAWj27P5VKK9oeki.jpg,"[{'id': 13370, 'logo_path': None, 'name': 'Eden Productions Inc.', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1966-05-31,0,95.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,All the action you can take...all the adventure you can wish for!,A Big Hand for the Little Lady,False,7.0,50,0060165,1,2,0.006192,0.012344,"imdb_id    0060165
imdb_id    0060165
Name: 7807, dtype: object",0.0
5585,2011,Apart,1525552,4242,3,False,,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",,87425,1525552,en,Apart,"Linked by a rare psychological disorder, Noah Greene and Emily Gates must uncover the mystery of a tragic past in order to find hope for the future.",1.5630000000000002,/rxKKN76SNeeZtyln6eCV5fRF8go.jpg,[],[],2011-03-09,0,85.0,[],Released,Damned Together. Condemned By Fate.,Apart,False,4.0,11,1525552,0,2,0.0,0.014264,"imdb_id    1525552
imdb_id    1525552
Name: 5585, dtype: object",1.5918712955122787
3366,2015,Sunset Song,2262161,6928,3,False,/oMvovUVMe7HIvPsZxq23cBdLwZB.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",,277713,2262161,en,Sunset Song,The daughter of a Scottish farmer comes of age in the early 1900s.,7.054,/loBR4Qm16d0gtaCJ7T1gknMtK4f.jpg,"[{'id': 6938, 'logo_path': None, 'name': 'Iris Productions', 'origin_country': 'LU'}, {'id': 43274, 'logo_path': None, 'name': 'Hurricane Films', 'origin_country': ''}, {'id': 75882, 'logo_path': None, 'name': 'SellOutPictures', 'origin_country': ''}]","[{'iso_3166_1': 'LU', 'name': 'Luxembourg'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2015-12-04,0,135.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"An epic story of love, loss and the land that inspired it all.",Sunset Song,False,6.3,80,2262161,1,0,0.008101333333333334,0.0,"imdb_id    2262161
imdb_id    2262161
Name: 3366, dtype: object",0.6271777003484329
3247,1985,Agnes of God,0088683,602,3,False,/OAxqslLEzlBF8eT8KcfO4EqQko.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,24735,0088683,en,Agnes of God,"When a dead newborn is found, wrapped in bloody sheets, in the bedroom wastebasket of a young novice, psychiatrist Martha Livingston is called in to determine if the seemingly innocent novice, who knows nothing of sex or birth, is competent enough to stand trial for the murder of the baby.",10.718,/m2QrxkojSmQb9k4DN6qhovDHLwD.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1985-09-13,0,98.0,"[{'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,"That night, murder wasn't the only sin.",Agnes of God,False,6.3,92,0088683,0,1,0.0,0.141664,"imdb_id    0088683
imdb_id    0088683
Name: 3247, dtype: object",0.2891363022941972
1654,1989,Leningrad Cowboys Go America,0097728,4646,0,False,/kevyDBlyEJvQOPGd0b3BbtPKqrK.jpg,"{'id': 187736, 'name': 'Leningrad Cowboys Collection', 'poster_path': '/iWzKOYMSVIYhMGTnAGRAdbrzqBZ.jpg', 'backdrop_path': '/399eIDdzBQ7RRd4BALkozSb2Joc.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",,11475,0097728,en,Leningrad Cowboys Go America,"The Leningrad Cowboys, a group of Siberian musicians, and their manager, travel to America seeking fame and fortune. As they cross the country, trying to get to a wedding in Mexico, they are followed by the village idiot, who wishes to join the band.",8.628,/6lJj3w5ebOkrsNx6sJXyNuWDJIB.jpg,"[{'id': 2303, 'logo_path': None, 'name': 'Villealfa Filmproductions', 'origin_country': 'FI'}, {'id': 2302, 'logo_path': '/rPXEdpqwFycAY9ZgrAJXv13qcWW.png', 'name': 'Svenska Filminstitutet', 'origin_country': 'SE'}, {'id': 2304, 'logo_path': None, 'name': 'Finnkino', 'origin_country': 'FI'}, {'id': 20870, 'logo_path': None, 'name': 'Megamania', 'origin_country': 'FI'}, {'id': 2305, 'logo_path': None, 'name': 'Esselte Video', 'origin_country': 'SE'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}, {'iso_3166_1': 'SE', 'name': 'Sweden'}]",1989-03-24,0,79.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",Released,,Leningrad Cowboys Go America,False,7.0,108,0097728,0,5,0.0,0.148176,"imdb_id    0097728
imdb_id    0097728
Name: 1654, dtype: object",0.0
2045,2005,Elizabethtown,0368709,8908,3,False,/cx2nwab4wKPpmQ9uacgBU7jJfEp.jpg,,57000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,9621,0368709,en,Elizabethtown,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love.",12.009,/mOdlzAQxhMgiaazRzif1YtJzg9s.jpg,"[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 44, 'logo_path': None, 'name': 'Cruise/Wagner Productions', 'origin_country': ''}, {'id': 485, 'logo_path': '/tVOP0mIeoYLua4Rw66OYNzitrrI.png', 'name': 'Vinyl Films', 'origin_country': 'US'}, {'id': 20157, 'logo_path': None, 'name': 'KMP Film Invest', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-10-14,52164016,123.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It's a heck of a place to find yourself,Elizabethtown,False,6.2,907,0368709,1,1,0.009045333333333334,0.010154666666666666,"imdb_id    0368709
imdb_id    0368709
Name: 2045, dtype: object",1.11780821917808
2465,2013,White Lies,2386257,8629,3,False,,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,204397,2386257,en,White Lies,A medicine woman - a giver of life - is asked to hide a secret which may protect one life but which will destroy another.,0.739,,[],[],2013-06-26,0,96.0,"[{'english_name': 'Maori', 'iso_639_1': 'mi', 'name': ''}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,White Lies,False,5.8,4,2386257,0,0,0.0,0.0,"imdb_id    2386257
imdb_id    2386257
Name: 2465, dtype: object",7.651612903225808
5297,2001,Elvira&#39;s Haunted Hills,0265171,4403,3,False,/yVGbzNoKaeicVkl2ilqmEzr7MYh.jpg,"{'id': 182617, 'name': 'Elvira Collection', 'poster_path': '/6nD0Wzczck9sBlQa8QRvXPVkWfa.jpg', 'backdrop_path': '/8XATqiEaC5Xgse6dCGyzvRFEOBH.jpg'}",1500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",http://www.elvira.com,21597,0265171,en,Elvira's Haunted Hills,"The setting is Carpathia. The year is 1851. When Elvira gets kicked out of an Inn for a slight monetary discrepancy, she is rescued by a local who takes her to stay at the castle in the hills high above the village. The fact that she happens to resemble the count's former ""missing"" wife opens a can of worms or two.",8.67,/j8BpGyzIXLSlTAq1oiTDDfLrnov.jpg,"[{'id': 3244, 'logo_path': None, 'name': 'Media Pro Pictures', 'origin_country': 'RO'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-10-31,0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Elvira's Haunted Hills,False,5.4,76,0265171,1,0,0.018549333333333334,0.0,"imdb_id    0265171
imdb_id    0265171
Name: 5297, dtype: object",0.7890160183066356
806,2001,Sweet November,0230838,8533,1,False,/lDtmwXg6nknzViEQ5SDkk4D1WEZ.jpg,,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,1921,0230838,en,Sweet November,"Nelson is a man devoted to his advertising career in San Francisco. One day, while taking a driving test at the DMV, he meets Sara. She is very different from the other women in his life. Nelson causes her to miss out on taking the test and later that day she tracks him down. One thing leads to another and Nelson ends up living with her through a November that will change his life forever.",18.138,/3biEHZSBSYqSkawU2sQyNbLcjgE.jpg,"[{'id': 788, 'logo_path': None, 'name': 'Bel Air Entertainment', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 787, 'logo_path': '/cCefBs1t7jxtiz3eCxBp9yxrxGx.png', 'name': '3 Arts Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-02-16,65754228,119.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,She Just Needed A Month To Change His Life Forever.,Sweet November,False,6.9,1052,0230838,1,2,0.164736,0.28808266666666665,"imdb_id    0230838
imdb_id    0230838
Name: 806, dtype: object",0.8421970357454229
